id,intitule,dateCreation,departement,commune,ville,latitude,longitude,entreprise,typeContrat,typeContratLibelle,experienceLibelle,experienceExige,qualificationLibelle,romeCode,romeLibelle,secteurActiviteLibelle,salaire_libelle,competences_structurees,competences_detectees,nb_competences_detectees,sal_periode,sal_min,sal_max,sal_annuel_min,sal_annuel_max,sal_annuel_moyen
210LGWN,Data engineer (BI) - H/F/X (H/F),2026-06-29 11:01:04.587000+00:00,93,93066,93 - ST DENIS,48.941389,2.382632,VENTE PRIVEE.COM,CDI,CDI,4 An(s),E,Cadre,M1811,Data engineer,Vente à distance sur catalogue général,,"Analyser, exploiter, structurer des données",Python | SQL | Airflow | dbt | GCP | BigQuery | Power BI | Tableau | Git,9,,,,,,
210CLSC,Business Data & BI Analyst H/F (H/F),2026-06-22 12:21:20.958000+00:00,92,92026,92 - COURBEVOIE,48.898112,2.238533,,CDI,CDI,1 An(s),E,Cadre,M1806,Consultant fonctionnel / Consultante fonctionnelle des systèmes d'information,Autre distribution de crédit,,Concevoir et gérer un projet,SQL,1,,,,,,
209ZRFX,Data Analyst / BI Analyst - Power BI (H/F),2026-06-19 10:40:30.485000+00:00,75,75110,75 - Paris 10e Arrondissement,48.871795,2.357832,BRAIN LOGIC,CDI,CDI,3 An(s),E,Cadre,M1419,Data analyst,Conseil en systèmes et logiciels informatiques,,Adapter les outils de traitement statistique de données | Communiquer les résultats des études aux parties prenantes | Data fabric ou équivalent | Methodologie Agile / Safe | Power BI | SQL,SQL | Power BI | DAX | Power Query | Data Visualization,5,,,,,,
209XGKZ,Conducteur pl bi température (H/F),2026-06-17 14:03:21.101000+00:00,91,91086,91 - Bondoufle,48.613238,2.380131,ERGALIS EVRY 3203,MIS,Intérim - 4 Mois,1 An(s),E,"Ouvrier qualifié (P1,P2)",N4101,Conducteur / Conductrice de poids lourd,Activités des agences de travail temporaire,Horaire de 12.31 Euros à 13.0 Euros sur 12 mois,Contrôler l'état de fonctionnement du véhicule | Vérifier l'exactitude et la conformité de documents de transport de marchandises,,0,Horaire,12.31,13.0,22404.0,23660.0,23032.0
209MSFG,Consultant BI (H/F),2026-06-09 15:32:47.184000+00:00,92,92026,92 - COURBEVOIE,48.901819,2.267542,EXPERTEAM,CDI,CDI,5 An(s),E,Cadre,M1872,Consultant décisionnel / Consultante décisionnelle - Business Intelligence,Conseil en systèmes et logiciels informatiques,,Développer des scripts pour l'automatisation des rapports | Elaborer des solutions techniques et fonctionnelles | Faciliter la collaboration interdépartementale sur les projets BI | Gérer la sécurité des données dans les projets BI | Intégrer les bases de données avec d'autres systèmes d'information,SQL | ETL | Talend | Azure | Power BI | SSIS/SSAS/SSRS,6,,,,,,
210JKNL,Analyste décisionnel - Business Intelligence (H/F),2026-06-25 18:18:33.085000+00:00,93,93045,93 - LES LILAS,48.879365,2.415862,AUBER TECH,CDI,CDI,Débutant accepté,D,Cadre,M1851,Analyste décisionnel - Business Intelligence,Conseil en systèmes et logiciels informatiques,Mensuel de 2500.0 Euros à 3500.0 Euros sur 12.0 mois,Utilisation d'outils Business Intelligence (BI) - Informatique décisionnelle,SQL,1,Mensuel,2500.0,3500.0,30000.0,42000.0,36000.0
209VKJG,"Manager Expertise Comptable H/F - Data, IA & Transformation (H/F)",2026-06-16 10:59:50.482000+00:00,75,,75 - Paris (Dept.),,,NFZI,CDI,CDI,3 An(s),E,Cadre,M1426,Chief digital officer - Responsable de la transformation digitale,Conseil pour les affaires et autres conseils de gestion,Annuel de 50000.0 Euros à 55000.0 Euros sur 12 mois,Big data Analytics | Utilisation d'outils Business Intelligence (BI) - Informatique décisionnelle | Développer des stratégies pour améliorer l'expérience utilisateur | Faciliter la migration des systèmes vers de nouvelles plateformes | Optimiser les coûts des technologies de l'information | Optimiser l'expérience utilisateur sur les plateformes digitales | Promouvoir l'innovation au sein de l'entreprise | Proposer des améliorations pour optimiser les processus | Réaliser des études d'organisation et d'évolution de systèmes d'information | Se tenir informé des évolutions technologiques et des nouvelles tendances dans son domaine d'activité | Superviser le déploiement de nouvelles applications | logiciels comptables | outils digitaux,,0,Annuel,50000.0,55000.0,50000.0,55000.0,52500.0
209RFGH,Data analyst - Retail   (H/F),2026-06-12 10:08:17.930000+00:00,75,,75 - Paris (Dept.),,,THOM,CDI,CDI,3 An(s),E,Agent de maîtrise,M1851,Analyste décisionnel - Business Intelligence,Gestion de fonds,,Utilisation d'outils Business Intelligence (BI) - Informatique décisionnelle,Power BI | Data Visualization,2,,,,,,
209LSFP,Solution Consultant (H/F),2026-06-09 06:14:34.398000+00:00,92,92062,92 - PUTEAUX,48.884019,2.237979,AKILA INFORMATION SYSTEMS,CDI,CDI,Débutant accepté,D,Technicien,I1314,Monteur installateur / Monteuse installatrice d'équipements connectés,Programmation informatique,Mensuel de 3333.0 Euros à 3417.0 Euros sur 12.0 mois,Installer l'équipement sur le site et le connecter aux réseaux extérieurs | GTB | Power BI | IoT,Power BI,1,Mensuel,3333.0,3417.0,39996.0,41004.0,40500.0
209LKPX,"Chargé.e Suivi, Évaluation, Redevabilité et Apprentissage (SERA) (H/F)",2026-06-08 17:08:19.352000+00:00,75,75105,75 - PARIS,48.846127,2.344508,EXPERTISE FRANCE,CDD,CDD - 12 Mois,7 An(s),E,Cadre,M1403,Chargé / Chargée d'études socio-économiques,"Activités spécialisées, scientifiques et techniques diverses",,"Communiquer les résultats des études aux parties prenantes | Améliorer continuellement les méthodes d'analyse | Animer, coordonner une équipe | Assister une structure dans l'interprétation et l'analyse d'une étude | Collaborer avec des équipes multidisciplinaires | Collecter des données statistiques | Communiquer, lire et rédiger des documents techniques, des rapports, des notes en anglais | Concevoir et gérer un projet | Convaincre en argumentant avec un ou plusieurs interlocuteurs | Coordonner le déroulement d'une étude | Développer et gérer des relations ou partenariats | Elaborer des recommandations stratégiques | Etablir des prévisions, des évaluations, des recommandations, des perspectives | Former les équipes aux outils d'analyse économique | Gérer des bases de données | Optimiser des processus de collecte de données | Réaliser une veille documentaire | Rédiger des rapports d'étude détaillés | Respecter les normes éthiques et de confidentialité | Synthétiser et mettre en forme des données pour les présenter lors de réunions stratégiques | Traiter les données d'analyse pour en extraire des tendances | Kobo | Master en Droits humains et Egalité de genre | SPSS | Power BI | Master en Genre & Développement international",Power BI | Tableau,2,,,,,,
209DGKT,Analyste programmeur / décisionnel - business intelligence  (H/F),2026-06-02 21:42:59.481000+00:00,92,92049,92 - MONTROUGE,48.818761,2.320528,KODEMADE,CDI,CDI,Débutant accepté,D,Cadre,M1851,Analyste décisionnel - Business Intelligence,"Ingénierie,études techniques",,Business Intelligence (BI) - Informatique décisionnelle | Tableau Software | Concevoir et développer les programmes et applicat | Langage informatique SQL | Datastage PX | Datastage Server | Business Object | Rédiger une Spécification Technique de Besoin (STB | Cognos | PowerAMC | PLSQL,SQL | Oracle | SQL Server | Tableau,4,,,,,,
208ZJTH,Analyste Master Data & Gouvernance Industrielle H/F (H/F),2026-06-01 10:50:33.835000+00:00,75,75102,75 - PARIS,,,LA CADETTE,CDI,CDI,2 An(s),E,Cadre,M1851,Analyste décisionnel - Business Intelligence,Activités spécialisées de design,,Utilisation d'outils Business Intelligence (BI) - Informatique décisionnelle,SQL | Power BI | Excel | Power Query,4,,,,,,
4235778,Développeur BI (H/F),2026-06-25 11:39:09+00:00,75,75109,75 - Paris 9e Arrondissement,48.872479,2.341194,,CDI,CDI,6 An(s),E,,M1824,Développeur / Développeuse décisionnel - Business Intelligence,,Annuel de 70000.0 Euros,,SQL | Oracle | Power BI | Excel | Power Query,5,Annuel,70000.0,70000.0,70000.0,70000.0,70000.0
